Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi
3200000000,5,2,2,420,250,Cinere
2300000000,4,4,1,230,180,Cinere
2600000000,4,4,1,120,140,Cinere
2900000000,4,3,2,163,280,Cinere
1800000000,4,4,1,86,157,Sawangan
2250000000,4,3,2,144,140,Cinere
28500000000,5,5,4,1350,800,Cinere
3400000000,4,2,2,200,250,Cinere
13000000000,5,5,4,440,502,Cinere
2350000000,3,3,2,120,200,Cinere
4750000000,4,3,2,300,215,Cinere
2900000000,4,3,2,162,255,Cinere
2000000000,3,2,1,240,200,Cinere
4500000000,5,5,8,1413,735,Depok I
850000000,3,3,1,115,92,Krukut
7950000000,6,5,4,540,260,Cinere
7800000000,6,7,4,413,650,Cinere
699000000,1,1,2,81,24,Sawangan
1900000000,3,3,2,218,150,Rangkapanjaya
3500000000,4,3,1,240,260,Cinere
3600000000,4,3,2,150,220,Cinere
3500000000,4,3,2,200,238,Cinere
7500000000,4,4,1,353,424,Cinere
2970000000,4,2,0,225,240,Cinere
1900000000,3,4,2,100,135,Cinere
6750000000,5,4,2,400,350,Cinere
2400000000,3,2,1,142,98,Cinere
5900000000,4,3,1,492,300,Cinere
4500000000,4,4,1,250,200,Cinere
1200000000,2,2,0,108,90,Cinere
5600000000,5,3,2,550,245,Cinere
3380000000,4,5,2,200,200,Cinere
4300000000,4,4,0,175,275,Cimanggis
12500000000,5,3,2,695,211,Cinere
8800000000,6,5,4,596,700,Cinere
970000000,3,2,1,60,55,Limo
1980000000,4,3,2,101,160,Kukusan
1780000000,3,3,2,100,135,Cinere
1200000000,3,2,2,74,73,Cinere
3250000000,3,2,2,300,160,Cinere
2100000000,3,2,1,98,92,Depok I
3250000000,5,4,1,198,250,Cinere
5950000000,4,3,4,500,400,Cinere
3750000000,3,3,0,250,248,Limo
3400000000,4,3,1,225,475,Cinere
950000000,2,1,2,200,90,Sawangan
2350000000,5,2,1,268,150,Cinere
1500000000,3,2,2,170,200,Cinere
4200000000,4,3,1,330,200,Cinere
1300000000,3,2,1,182,150,Cinere
1000000000,3,2,2,128,120,Sawangan
3600000000,4,4,2,200,220,Cinere
2400000000,4,3,1,480,320,Sawangan
30000000000,11,10,8,1428,1200,Cinere
700000000,2,1,0,99,40,Sawangan
2000000000,4,4,2,127,200,Cinere
5000000000,5,2,2,300,240,Cinere
25000000000,7,7,10,1428,1200,Cinere
2500000000,3,3,1,120,180,Cinere
690000000,3,2,2,106,85,Limo
1300000000,3,2,1,182,140,Cinere
684000000,2,1,1,60,36,Tapos
1500000000,4,3,1,103,120,Cinere
2700000000,3,2,1,244,125,Cinere
1300000000,2,1,1,93,85,Cinere
550000000,2,2,1,50,60,Tapos
1940000000,1,1,2,223,50,Cinere
3800000000,4,3,3,405,400,Cinere
3000000000,3,2,2,170,200,Cinere
2900000000,4,2,1,180,190,Cinere
210000000,2,1,0,60,60,Citayam
3500000000,3,3,1,214,102,Pangkalan Jati
1800000000,4,4,1,105,125,Cinere
4000000000,5,3,4,493,338,Cinere
1000000000,3,2,1,105,90,Depok I
1250000000,3,3,1,65,89,Cibubur
2500000000,3,4,2,280,170,Cimanggis
7500000000,4,4,5,617,360,Harjamukti
1150000000,3,2,1,90,100,Sawangan
745000000,2,2,1,60,48,Tapos
1800000000,3,3,1,157,210,Depok I
1800000000,3,2,2,170,152,Cinere
2250000000,3,3,1,200,243,Cinere
2100000000,3,3,2,194,143,Depok I
1000000000,4,3,2,98,225,Depok II
2000000000,3,3,2,100,146,Cinere
900000000,3,1,1,167,90,Sawangan
4800000000,5,3,2,240,280,Depok II
1800000000,3,3,2,100,135,Cinere
2550000000,4,6,2,232,260,Depok II
680000000,2,1,1,76,40,Cilodong
700000000,3,2,1,54,96,Harjamukti
1200000000,3,2,2,104,150,Harjamukti
3400000000,4,4,0,182,200,Cinere
6000000000,5,2,0,320,161,Kelapa Dua
900000000,3,3,0,72,150,Sawangan
837000000,3,2,2,66,75,Cinangka
10900000000,8,5,9,2057,1000,Sawangan
2500000000,3,2,1,142,98,Cinere
5550000000,7,5,4,840,225,Mekarsari
599000000,2,1,0,72,50,Beji
4500000000,7,5,4,600,400,Cinere
